,W/L,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,Weight class,Method,Round,Time
1020,win,Anthony Smith,Alexander Gustafsson,0,0,49,72,0,1,1,0,Light Heavyweight,SUB,4,2:38
1021,win,Aleksandar Rakic,Jimi Manuwa,1,0,2,2,0,0,0,0,Light Heavyweight,KO/TKO,1,0:47
1022,win,Makwan Amirkhani,Chris Fishgold,0,0,9,16,1,0,1,0,Featherweight,SUB,2,4:25
1023,win,Christos Giagos,Damir Hadzovic,0,0,47,24,6,1,0,0,Lightweight,U-DEC,3,5:00
1024,win,Daniel Teymur,Sung Bin Jo,0,0,40,21,1,1,0,1,Featherweight,U-DEC,3,5:00
1025,win,Sergey Khandozhko,Rostem Akman,1,0,60,39,1,2,0,0,Welterweight,U-DEC,3,5:00
1026,win,Lina Lansberg,Tonya Evinger,0,0,50,6,1,1,0,0,Women's Bantamweight,U-DEC,3,5:00
1027,win,Leonardo Santos,Stevie Ray,1,0,12,2,0,0,0,0,Lightweight,KO/TKO,1,2:17
1028,win,Frank Camacho,Nick Hein,0,0,100,37,0,1,0,0,Lightweight,KO/TKO,2,4:56
1029,win,Bea Malecki,Duda Santana,0,0,19,42,0,3,2,0,Women's Bantamweight,SUB,2,1:59
1030,win,Devin Clark,Darko Stosic,0,0,40,26,2,1,0,0,Light Heavyweight,U-DEC,3,5:00
1031,win,Joel Alvarez,Danilo Belluardo,0,0,19,13,0,2,0,0,Lightweight,KO/TKO,2,2:22
1032,win,Rafael Dos Anjos,Kevin Lee,0,0,60,35,4,6,1,0,Welterweight,SUB,4,3:47
1033,win,Ian Heinisch,Antonio Carlos Junior,0,0,39,15,1,4,0,0,Middleweight,U-DEC,3,5:00
1034,win,Felicia Spencer,Megan Anderson,0,0,22,3,1,0,1,0,Women's Featherweight,SUB,1,3:24
1035,win,Vicente Luque,Derrick Krantz,1,0,18,6,0,1,0,0,Welterweight,KO/TKO,1,3:52
1036,win,Charles Oliveira,Nik Lentz,1,0,38,18,0,2,1,0,Lightweight,KO/TKO,2,2:11
1037,win,Davi Ramos,Austin Hubbard,0,0,63,44,3,0,0,0,Lightweight,U-DEC,3,5:00
1038,win,Aspen Ladd,Sijara Eubanks,0,0,69,77,3,2,3,0,Women's Bantamweight,U-DEC,3,5:00
1039,win,Desmond Green,Charles Jourdain,0,0,78,55,4,0,0,0,Lightweight,U-DEC,3,5:00
1040,win,Michel Pereira,Danny Roberts,1,0,6,2,0,0,0,0,Welterweight,KO/TKO,1,1:47
1041,win,Grant Dawson,Michael Trizano,0,0,27,20,3,0,1,0,Featherweight,SUB,2,2:27
1042,win,Ed Herman,Patrick Cummins,1,0,11,22,0,1,0,0,Light Heavyweight,KO/TKO,1,3:39
1043,win,Zak Cummings,Trevin Giles,1,0,34,31,0,0,1,0,Middleweight,SUB,3,4:01
1044,win,Julio Arce,Julian Erosa,1,0,74,43,1,0,0,0,Featherweight,KO/TKO,3,1:49
1045,win,Jessica Andrade,Rose Namajunas,0,1,47,55,2,0,0,1,Women's Strawweight,KO/TKO,2,2:58
