,Weight class,Round,f1_Height_cm,f1_Wins,f1_Losses,f1_Reach,f1_DOB,f1_SLpM,f1_Str. Acc.,f1_SApM,f1_Str. Def,f1_TD Avg.,f1_TD Acc.,f1_TD Def.,f1_Sub. Avg.,f2_Height_cm,f2_Wins,f2_Losses,f2_Reach,f2_DOB,f2_SLpM,f2_Str. Acc.,f2_SApM,f2_Str. Def,f2_TD Avg.,f2_TD Acc.,f2_TD Def.,f2_Sub. Avg.,Method_DEC,Method_KO/TKO,Method_SUB,f1_STANCE_Orthodox,f1_STANCE_Southpaw,f1_STANCE_Switch,f1_STANCE_unk,f2_STANCE_Orthodox,f2_STANCE_Southpaw,f2_STANCE_Switch,f2_STANCE_unk,winner
1186,7.0,1.0,154.94,22.0,3.0,70.0,1988.0,7.46,59.0,7.99,55.0,0.0,0.0,69.0,0.0,190.5,13.0,5.0,76.0,1987.0,4.13,39.0,3.31,60.0,0.26,33.0,57.0,0.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1187,6.0,3.0,154.94,20.0,17.0,73.0,1986.0,4.21,38.0,3.82,58.0,0.49,45.0,77.0,0.1,154.94,21.0,8.0,74.0,1990.0,3.73,36.0,3.9,52.0,2.5,49.0,64.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1188,0.0,3.0,170.18,9.0,9.0,67.0,1987.0,4.33,38.0,4.19,52.0,0.28,27.0,38.0,0.6,160.02,13.0,9.0,64.0,1985.0,5.66,50.0,4.98,64.0,0.45,36.0,76.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1189,8.0,1.0,182.88,15.0,7.0,72.0,1989.0,5.48,48.0,4.7,45.0,0.23,28.0,60.0,0.5,175.26,31.0,15.0,71.0,1985.0,2.47,39.0,2.83,60.0,2.04,47.0,86.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1190,4.0,2.0,165.1,20.0,2.0,68.0,1987.0,3.24,56.0,3.4,49.0,1.54,52.0,58.0,2.1,167.64,19.0,7.0,66.0,1984.0,2.57,43.0,2.55,56.0,0.62,23.0,44.0,1.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1191,9.0,3.0,185.42,14.0,5.0,75.0,1987.0,3.2,47.0,3.96,51.0,1.47,32.0,76.0,0.1,187.96,15.0,5.0,76.0,1986.0,3.07,38.0,3.55,48.0,1.81,40.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1192,8.0,2.0,187.96,28.0,9.0,73.0,1986.0,4.79,49.0,4.11,61.0,0.96,18.0,59.0,0.9,154.94,15.0,4.0,72.0,1991.0,3.09,47.0,3.62,50.0,1.48,54.0,75.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1193,5.0,2.0,175.26,35.0,10.0,71.0,1980.0,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,154.94,14.0,2.0,70.0,1992.0,6.85,48.0,3.89,59.0,1.07,50.0,30.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1194,9.0,3.0,185.42,13.0,6.0,74.0,1988.0,4.48,42.0,5.05,51.0,1.92,31.0,100.0,0.0,185.42,12.0,5.0,73.0,1988.0,2.6,47.0,3.72,52.0,0.81,25.0,77.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1195,8.0,1.0,182.88,17.0,7.0,73.0,1981.0,3.53,39.0,2.42,57.0,1.37,20.0,38.0,0.7,187.96,6.0,3.0,74.0,1992.0,2.55,46.0,3.65,42.0,1.15,26.0,40.0,2.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1196,1.0,1.0,170.18,18.0,8.0,70.0,1986.0,2.23,56.0,1.44,45.0,1.31,66.0,20.0,0.7,167.64,15.0,6.0,65.0,1985.0,6.75,50.0,4.5,52.0,1.62,55.0,63.0,0.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1197,7.0,3.0,172.72,23.0,11.0,70.0,1988.0,4.38,40.0,4.08,52.0,0.82,18.0,55.0,0.1,154.94,10.0,5.0,73.0,1984.0,3.0,40.0,3.74,60.0,0.42,33.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1198,5.0,1.0,167.64,27.0,10.0,67.0,1984.0,1.57,37.0,1.7,50.0,2.89,33.0,24.0,2.0,167.64,13.0,5.0,67.0,1985.0,6.61,52.0,4.37,50.0,0.71,30.0,72.0,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1199,5.0,1.0,172.72,12.0,4.0,65.0,1991.0,3.17,38.0,4.14,61.0,1.05,32.0,83.0,0.0,167.64,17.0,4.0,67.0,1986.0,5.37,41.0,3.03,65.0,1.68,37.0,86.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1200,4.0,5.0,160.02,27.0,3.0,66.0,1986.0,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,162.56,16.0,2.0,64.0,1987.0,3.92,45.0,2.77,65.0,2.12,33.0,93.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1201,6.0,1.0,154.94,14.0,4.0,72.0,1989.0,5.4,46.0,3.74,65.0,1.28,53.0,78.0,0.6,172.72,27.0,12.0,70.0,1983.0,4.63,50.0,3.66,60.0,1.08,51.0,60.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1202,0.0,3.0,165.1,9.0,4.0,67.0,1992.0,3.76,41.0,4.55,61.0,0.8,40.0,57.0,0.0,165.1,12.0,4.0,67.0,1992.0,3.71,41.0,3.01,54.0,1.12,33.0,50.0,3.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1203,9.0,3.0,187.96,21.0,9.0,76.0,1984.0,4.27,48.0,2.33,55.0,0.7,38.0,66.0,0.1,190.5,21.0,7.0,81.0,1992.0,3.74,54.0,2.33,56.0,0.92,45.0,47.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1204,5.0,3.0,170.18,17.0,2.0,71.0,1992.0,2.86,49.0,3.84,53.0,4.92,49.0,58.0,1.0,167.64,19.0,5.0,65.0,1986.0,5.6,43.0,5.87,58.0,0.68,21.0,80.0,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1205,5.0,3.0,175.26,15.0,3.0,72.0,1995.0,3.1,41.0,3.6,57.0,3.08,58.0,73.0,0.7,175.26,17.0,8.0,73.0,1987.0,2.52,44.0,2.43,58.0,2.53,59.0,71.0,1.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1206,6.0,3.0,170.18,8.0,3.0,68.0,1994.0,5.44,42.0,3.13,61.0,0.0,0.0,81.0,0.4,172.72,11.0,4.0,72.0,1990.0,3.0,42.0,3.64,63.0,0.0,0.0,53.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1207,4.0,1.0,167.64,24.0,6.0,65.0,1992.0,4.62,47.0,3.08,61.0,2.92,45.0,87.0,1.3,162.56,8.0,1.0,65.0,1992.0,4.37,36.0,9.84,50.0,1.28,33.0,75.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1208,0.0,3.0,162.56,21.0,2.0,63.0,1989.0,6.36,45.0,4.42,53.0,1.24,23.0,100.0,0.5,152.4,9.0,4.0,60.0,1989.0,2.75,29.0,3.31,71.0,0.2,20.0,70.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1209,5.0,2.0,175.26,9.0,6.0,69.0,1989.0,1.63,42.0,2.96,56.0,3.38,42.0,71.0,0.4,172.72,17.0,7.0,70.0,1992.0,3.91,50.0,4.08,51.0,0.88,42.0,69.0,1.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1210,7.0,2.0,175.26,27.0,6.0,72.0,1989.0,5.59,50.0,4.17,54.0,1.47,36.0,61.0,1.3,175.26,29.0,6.0,69.0,1984.0,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1211,6.0,1.0,175.26,28.0,18.0,71.0,1986.0,3.18,40.0,3.06,58.0,1.16,38.0,65.0,0.4,170.18,29.0,7.0,70.0,1986.0,3.45,45.0,3.52,61.0,0.57,56.0,91.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1212,0.0,3.0,167.64,16.0,4.0,65.0,1987.0,6.3,48.0,3.08,64.0,0.28,62.0,81.0,0.1,154.94,12.0,5.0,60.0,1989.0,4.3,47.0,3.37,62.0,0.68,15.0,56.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1213,7.0,3.0,175.26,12.0,4.0,72.0,1992.0,3.57,35.0,3.81,59.0,1.6,38.0,62.0,0.0,175.26,11.0,5.0,70.0,1989.0,2.48,51.0,2.97,55.0,2.36,33.0,70.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1214,8.0,3.0,154.94,19.0,7.0,72.0,1990.0,5.05,42.0,3.69,56.0,0.43,25.0,52.0,0.4,182.88,31.0,12.0,73.0,1989.0,3.35,44.0,2.55,69.0,1.56,58.0,66.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1215,6.0,3.0,172.72,12.0,2.0,73.0,1991.0,4.72,46.0,2.39,62.0,0.0,0.0,67.0,0.0,182.88,16.0,6.0,72.0,1991.0,4.52,41.0,6.38,62.0,0.44,18.0,57.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1216,7.0,1.0,154.94,23.0,13.0,75.0,1984.0,2.47,42.0,1.59,64.0,1.54,37.0,62.0,0.2,154.94,19.0,1.0,70.0,1991.0,2.0,56.0,0.77,70.0,3.46,68.0,93.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1217,10.0,1.0,185.42,15.0,6.0,75.0,1993.0,5.03,40.0,3.8,47.0,3.69,57.0,78.0,0.0,154.94,20.0,8.0,70.0,1987.0,2.08,55.0,4.21,40.0,5.08,36.0,0.0,1.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1218,7.0,3.0,172.72,18.0,7.0,68.0,1985.0,5.57,51.0,4.02,69.0,0.0,0.0,89.0,0.0,172.72,20.0,16.0,69.0,1984.0,3.68,40.0,4.09,62.0,0.74,35.0,75.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1219,1.0,3.0,175.26,16.0,4.0,68.0,1988.0,4.57,35.0,4.37,62.0,0.25,15.0,52.0,0.4,167.64,20.0,11.0,68.0,1984.0,4.55,47.0,4.5,55.0,0.94,42.0,34.0,0.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1220,4.0,1.0,167.64,16.0,3.0,66.0,1993.0,3.79,52.0,2.83,67.0,1.93,44.0,100.0,1.4,165.1,19.0,8.0,65.0,1988.0,2.94,44.0,2.17,56.0,3.01,36.0,52.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1221,0.0,3.0,162.56,10.0,12.0,63.0,1985.0,2.87,42.0,3.27,58.0,1.2,28.0,52.0,0.2,165.1,10.0,7.0,64.0,1985.0,4.64,47.0,3.5,53.0,0.28,40.0,76.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1222,7.0,1.0,182.88,9.0,4.0,73.0,1988.0,2.88,41.0,3.67,51.0,0.0,0.0,0.0,0.6,182.88,9.0,6.0,74.0,1990.0,1.89,38.0,3.4,55.0,0.0,0.0,33.0,1.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
